key,en,kn
site.title,Cuisines of Karnataka,ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಗಳು
site.documentLanguageLabels.en,English,English
site.documentLanguageLabels.kn,ಕನ್ನಡ,Kannada
site.logoAlt,COK,COK
header.menuOpenAria,Open menu,ಮೆನು ತೆರೆಯಿರಿ
header.menuCloseAria,Close menu,ಮೆನು ಮುಚ್ಚಿರಿ
header.logoAlt,COK,COK
header.sponsorAltLabels.presents,Presents,ಪ್ರಸ್ತುತಪಡಿಸುತ್ತದೆ
header.sponsorAltLabels.indane,Indane,ಇಂಡೇನ್
header.sponsorAltLabels.prestige,Prestige,ಪ್ರೆಸ್ಟೀಜ್
header.sponsorAltLabels.bhimaGold,Bhima Gold,ಭೀಮಾ ಗೋಲ್ಡ್
header.sponsorAltLabels.lays,Lays,ಲೇಸ್
header.sponsorAltLabels.sbiCard,SBI Card,ಎಸ್ಬಿಐ ಕಾರ್ಡ್
header.sponsorAltLabels.vencobb,Vencobb,ವೆನ್‌ಕಾಬ್
header.sponsorAltLabels.ecoCrystal,Eco Crystal,ಈಕೋ ಕ್ರಿಸ್ಟಲ್
nav.home,Home,ಮುಖಪುಟ
nav.recipes,Recipes,ಪಾಕವಿಧಾನಗಳು
nav.gallery,Gallery,ಗ್ಯಾಲರಿ
nav.partnerStories,Partner Stories,ಪಾಲುದಾರರ ಕಥೆಗಳು
nav.stories,Stories,ಕಥೆಗಳು
nav.game,Game,ಆಟ
home.badge,Season 5,ಸೀಸನ್ ೫
home.heroTitle,Cuisines of <span>Karnataka</span>,ಕರ್ನಾಟಕದ <span>ಭೋಜನ ಶೈಲಿಗಳು</span>
